Original_Keyword,Vietnamese_Variant,Pidgin_Draft,Target_Output
yểu điệu,Thật yểu điệu làm sao dáng đi của cô ấy!,ꪊꪲꪉ ꪹꪏꪒ ꪹꪏꪒ ꪏꪳ ꪻꪒ ꪹꪎꪸ꪿ ꪹꪄꪱ꫁ ꪄꪮꪉ ꪮꪱ ꪯ꫁ꪽ!,ꪊꪲꪉ ꪹꪏꪒ ꪹꪏꪒ ꪏꪳ ꪹꪎꪸ꪿ ꪹꪄꪱ꫁ ꪄꪮꪉ ꪮꪱ ꪯ꫁ꪽ ꪻꪒ
yểu điệu,Cô ấy bước đi một cách thật yểu điệu.,ꪮꪱ ꪯ꫁ꪽ ꪚꪱꪒ ꪹꪄꪱ꫁ ꪒꪸꪫ ꪄꪽ ꪊꪲꪉ ꪹꪏꪒ ꪹꪏꪒ.,ꪮꪱ ꪯ꫁ꪽ ꪒꪸꪫ ꪄꪽ ꪊꪲꪉ ꪚꪱꪒ ꪹꪄꪱ꫁ ꪹꪏꪒ ꪹꪏꪒ.
bờ,Gia đình tôi đang đi dạo bên bờ biển.,ꪋꪺ ꪹꪭꪙ ꪀꪴ ꪒꪱꪉ ꪹꪄꪱ꫁ ꪊꪳꪒ ꪡꪱꪀ ꪹꪚꪸ꫁.,ꪹꪭꪙ ꪋꪺ ꪀꪴ ꪒꪱꪉ ꪹꪄꪱ꫁ ꪊꪳꪒ ꪡꪱꪀ ꪹꪚꪸ꫁.
bờ,"Bên bờ biển, gia đình tôi đang đi dạo.","ꪡꪱꪀ ꪹꪚꪸ꫁, ꪋꪺ ꪹꪭꪙ ꪀꪴ ꪒꪱꪉ ꪹꪄꪱ꫁ ꪊꪳꪒ.","ꪡꪱꪀ ꪹꪚꪸ꫁, ꪋꪺ ꪹꪭꪙ ꪀꪴ ꪒꪱꪉ ꪹꪄꪱ꫁ ꪊꪳꪒ."
bờ,Những người đang đi dạo bên bờ biển chính là gia đình tôi.,ꪮ꪿ꪱꪙ ꪚꪱ ꪼꪕ ꪒꪱꪉ ꪹꪄꪱ꫁ ꪊꪳꪒ ꪡꪱꪀ ꪹꪚꪸ꫁ ꪊꪲ꪿ꪉ ꪖꪰꪒ ꪋꪺ ꪹꪭꪙ ꪀꪴ.,ꪮ꪿ꪱꪙ ꪚꪱ ꪼꪕ ꪒꪱꪉ ꪖꪰꪒ ꪋꪺ ꪹꪄꪱ꫁ ꪊꪳꪒ ꪡꪱꪀ ꪹꪚꪸ꫁ ꪊꪲ꪿ꪉ ꪹꪭꪙ ꪀꪴ.
nghe lời,Nó là một đứa trẻ rất nghe lời.,ꪣꪽ ꪖꪰꪒ ꪒꪸꪫ đứa ꪵꪯ ꪙ꫁ꪮꪥ ꪀꪱꪥ ꪫ꪿ꪱ ꪡꪰꪉ ꪁꪫꪱꪣ.,đứa ꪵꪯ ꪙ꫁ꪮꪥ ꪫ꪿ꪱ ꪣꪽ ꪖꪰꪒ ꪒꪸꪫ ꪀꪱꪥ ꪡꪰꪉ ꪁꪫꪱꪣ.
nghe lời,Nó rất nghe lời.,ꪣꪽ ꪀꪱꪥ ꪫ꪿ꪱ ꪡꪰꪉ ꪁꪫꪱꪣ.,ꪣꪽ ꪀꪱꪥ ꪫ꪿ꪱ ꪁꪫꪱꪣ ꪡꪰꪉ.
nghe lời,Đứa trẻ đó rất biết nghe lời.,Đứa ꪵꪯ ꪙ꫁ꪮꪥ ꪎ꫁ꪮꪙ ꪀꪱꪥ ꪫ꪿ꪱ ꪭꪴ꫁ ꪡꪰꪉ ꪁꪫꪱꪣ.,Đứa ꪎ꫁ꪮꪙ ꪙ꫁ꪮꪥ ꪫ꪿ꪱ ꪁꪫꪱꪣ ꪀꪱꪥ ꪭꪴ꫁ ꪵꪯ ꪡꪰꪉ.
nghe lời,Ai nói gì nó cũng nghe lời.,ꪻꪠ ꪜꪱꪀ ꪎꪰꪉ ꪣꪽ ꪁꪷ꫁ ꪡꪰꪉ ꪁꪫꪱꪣ.,ꪣꪽ ꪡꪰꪉ ꪁꪫꪱꪣ. ꪜꪱꪀ ꪎꪰꪉ ꪁꪷ꫁ ꪻꪠ
trang điểm,Cô ấy trang điểm rất đẹp.,ꪮꪱ ꪯ꫁ꪽ ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪀꪱꪥ ꪫ꪿ꪱ ꪋ꪿ꪽ.,ꪮꪱ ꪯ꫁ꪽ ꪫ꪿ꪱ ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪀꪱꪥ ꪋ꪿ꪽ.
trang điểm,Cô ấy là người trang điểm rất đẹp.,ꪮꪱ ꪯ꫁ꪽ ꪖꪰꪒ ꪚꪱ ꪼꪕ ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪀꪱꪥ ꪫ꪿ꪱ ꪋ꪿ꪽ.,ꪮꪱ ꪯ꫁ꪽ ꪫ꪿ꪱ ꪖꪰꪒ ꪚꪱ ꪼꪕ ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪀꪱꪥ ꪋ꪿ꪽ.
trang điểm,Lối trang điểm của cô ấy thật đẹp.,ꪕꪱꪉ ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪄꪮꪉ ꪮꪱ ꪯ꫁ꪽ ꪊꪲꪉ ꪋ꪿ꪽ.,ꪕꪱꪉ ꪋ꫁ꪽ ꪎ꫁ꪱꪉ ꪊꪲꪉ ꪄꪮꪉ ꪮꪱ ꪯ꫁ꪽ ꪣꪷ꪿.
trang điểm,Trang điểm đẹp như cô ấy không phải ai cũng làm được.,ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪋ꪿ꪽ ꪹꪁꪷ꪿ ꪮꪱ ꪯ꫁ꪽ ꪹꪚ꪿ꪱ ꪄꪫꪱ ꪻꪠ ꪁꪷ꫁ ꪹꪥꪸꪒ ꪼꪒ꫁.,ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪋ꪿ꪽ ꪹꪁꪷ꪿ ꪮꪱ ꪯ꫁ꪽ ꪹꪚ꪿ꪱ ꪹꪥꪸꪒ ꪄꪫꪱ ꪻꪠ ꪁꪷ꫁ ꪼꪒ꫁.
rau ráu,Con thỏ gặm củ cà rốt rau ráu.,ꪚꪰ꫁ꪉ ꪖꪷ꫁ ꪹꪩꪸꪣ ꪚ꫁ꪽ ꪹꪄ rốt ꪋꪮꪒ ꪋꪮꪒ.,rốt ꪖꪷ꫁ ꪹꪩꪸꪣ ꪚ꫁ꪽ ꪹꪄ ꪚꪰ꫁ꪉ ꪋꪮꪒ ꪋꪮꪒ.
rau ráu,"Rau ráu, con thỏ đang gặm củ cà rốt.","ꪋꪮꪒ ꪋꪮꪒ, ꪚꪰ꫁ꪉ ꪖꪷ꫁ ꪒꪱꪉ ꪹꪩꪸꪣ ꪚ꫁ꪽ ꪹꪄ rốt.","ꪋꪮꪒ ꪋꪮꪒ, ꪒꪱꪉ ꪹꪩꪸꪣ ꪚꪰ꫁ꪉ ꪖꪷ꫁ ꪚ꫁ꪽ ꪹꪄ rốt."
rau ráu,Củ cà rốt được con thỏ gặm rau ráu.,ꪚ꫁ꪽ ꪹꪄ rốt ꪼꪒ꫁ ꪚꪰ꫁ꪉ ꪖꪷ꫁ ꪹꪩꪸꪣ ꪋꪮꪒ ꪋꪮꪒ.,ꪚ꫁ꪽ ꪼꪒ꫁ ꪹꪄ rốt ꪚꪰ꫁ꪉ ꪖꪷ꫁ ꪹꪩꪸꪣ ꪋꪮꪒ ꪋꪮꪒ.
rau ráu,Con thỏ gặm củ cà rốt kêu rau ráu.,ꪚꪰ꫁ꪉ ꪖꪷ꫁ ꪹꪩꪸꪣ ꪚ꫁ꪽ ꪹꪄ rốt ꪮ꪿ꪽ ꪋꪮꪒ ꪋꪮꪒ.,ꪹꪄ rốt ꪚꪰ꫁ꪉ ꪖꪷ꫁ ꪹꪩꪸꪣ ꪚ꫁ꪽ ꪮ꪿ꪽ ꪋꪮꪒ ꪋꪮꪒ.
bươn tới,Thế hệ trẻ luôn nỗ lực bươn tới ước mơ của mình.,ꪜꪱꪉ ꪶꪁꪙ ꪵꪯ ꪙ꫁ꪮꪥ ꪹꪩꪷꪉ nỗ lực ꪨꪺꪉ ꪹꪣ꪿ ꪹꪮ ꪠꪽ ꪄꪮꪉ ꪹꪊꪱ꫁.,ꪹꪣ꪿ ꪄꪮꪉ ꪹꪊꪱ꫁ nỗ lực ꪨꪺꪉ ꪜꪱꪉ ꪶꪁꪙ ꪵꪯ ꪙ꫁ꪮꪥ ꪹꪩꪷꪉ ꪹꪮ ꪠꪽ.
bươn tới,"Để bươn tới ước mơ của mình, thế hệ trẻ luôn không ngừng nỗ lực.","ꪫꪱꪉ ꪨꪺꪉ ꪹꪣ꪿ ꪹꪮ ꪠꪽ ꪄꪮꪉ ꪹꪊꪱ꫁, ꪜꪱꪉ ꪶꪁꪙ ꪵꪯ ꪙ꫁ꪮꪥ ꪹꪩꪷꪉ ꪹꪚ꪿ꪱ ꪥꪰ꫁ꪉ nỗ lực.","ꪫꪱꪉ ꪨꪺꪉ ꪹꪣ꪿ ꪹꪮ ꪠꪽ ꪄꪮꪉ ꪹꪊꪱ꫁, ꪜꪱꪉ ꪶꪁꪙ ꪵꪯ ꪹꪚ꪿ꪱ ꪥꪰ꫁ꪉ ꪹꪩꪷꪉ ꪙ꫁ꪮꪥ nỗ lực."
bươn tới,Ước mơ của mình là điều mà thế hệ trẻ luôn nỗ lực bươn tới.,ꪹꪮ ꪠꪽ ꪄꪮꪉ ꪹꪊꪱ꫁ ꪖꪰꪒ ꪮꪽ ꪮꪮꪙ ꪐꪮꪙ ꪜꪱꪉ ꪶꪁꪙ ꪵꪯ ꪙ꫁ꪮꪥ ꪹꪩꪷꪉ nỗ lực ꪨꪺꪉ ꪹꪣ꪿.,"Dựa trên các quy tắc ngữ pháp đã cung cấp (SVO, Tính từ sau Danh từ), câu được sắp xếp lại như sau:

ꪵꪯ ꪙ꫁ꪮꪥ ꪹꪮ ꪠꪽ ꪄꪮꪉ ꪹꪊꪱ꫁ ꪖꪰꪒ ꪮꪽ ꪮꪮꪙ ꪐꪮꪙ ꪜꪱꪉ ꪶꪁꪙ ꪹꪩꪷꪉ nỗ lực ꪨꪺꪉ ꪹꪣ꪿."
bươn tới,Luôn nỗ lực bươn tới ước mơ của mình là một phẩm chất đáng quý của thế hệ trẻ.,ꪹꪩꪷꪉ nỗ lực ꪨꪺꪉ ꪹꪣ꪿ ꪹꪮ ꪠꪽ ꪄꪮꪉ ꪹꪊꪱ꫁ ꪖꪰꪒ ꪒꪸꪫ ꪤꪱ chất đáng ꪀ꪿ꪱ ꪄꪮꪉ ꪜꪱꪉ ꪶꪁꪙ ꪵꪯ ꪙ꫁ꪮꪥ.,"Dựa trên các quy tắc ngữ pháp SVO (Chủ ngữ - Vị ngữ - Tân ngữ) và Tính từ đứng sau Danh từ, câu được sắp xếp lại như sau:

ꪹꪩꪷꪉ nỗ lực ꪨꪺꪉ ꪄꪮꪉ ꪹꪊꪱ꫁ ꪒꪸꪫ ꪖꪰꪒ ꪤꪱ chất đáng ꪹꪣ꪿ ꪹꪮ ꪠꪽ ꪀ꪿ꪱ ꪄꪮꪉ ꪜꪱꪉ ꪶꪁꪙ ꪵꪯ ꪙ꫁ꪮꪥ."
nôi,Em bé đang ngủ trong nôi.,ꪙ꫁ꪮꪉ ꪵꪯ ꪙ꫁ꪮꪥ ꪒꪱꪉ ꪙꪮꪙ ꪀꪺꪉ ꪮꪴ꪿.,ꪙ꫁ꪮꪉ ꪵꪯ ꪙꪮꪙ ꪒꪱꪉ ꪙ꫁ꪮꪥ ꪀꪺꪉ ꪮꪴ꪿.
nôi,"Trong nôi, có một em bé đang ngủ say.","ꪀꪺꪉ ꪮꪴ꪿, ꪊꪲ꪿ ꪒꪸꪫ ꪙ꫁ꪮꪉ ꪵꪯ ꪙ꫁ꪮꪥ ꪒꪱꪉ ꪙꪮꪙ ꪶꪒꪙ.","ꪀꪺꪉ ꪮꪴ꪿, ꪵꪯ ꪙ꫁ꪮꪉ ꪙ꫁ꪮꪥ ꪊꪲ꪿ ꪒꪸꪫ ꪙꪮꪙ ꪒꪱꪉ ꪶꪒꪙ."
nôi,Chiếc nôi là nơi em bé đang say giấc.,ꪻꪚ ꪮꪴ꪿ ꪖꪰꪒ ꪚ꪿ꪮꪙ ꪙ꫁ꪮꪉ ꪵꪯ ꪙ꫁ꪮꪥ ꪒꪱꪉ ꪶꪒꪙ ꪒꪺ.,ꪙ꫁ꪮꪉ ꪻꪚ ꪮꪴ꪿ ꪖꪰꪒ ꪚ꪿ꪮꪙ ꪵꪯ ꪒꪱꪉ ꪶꪒꪙ ꪒꪺ ꪙ꫁ꪮꪥ.
nôi,Có một em bé đang ngủ ngon lành trong chiếc nôi.,ꪊꪲ꪿ ꪒꪸꪫ ꪙ꫁ꪮꪉ ꪵꪯ ꪙ꫁ꪮꪥ ꪒꪱꪉ ꪙꪮꪙ ꪒꪾꪚ ꪒꪲ ꪒꪲ ꪀꪺꪉ ꪻꪚ ꪮꪴ꪿.,ꪙ꫁ꪮꪉ ꪙ꫁ꪮꪥ ꪙꪮꪙ ꪒꪲ ꪒꪲ ꪊꪲ꪿ ꪒꪸꪫ ꪵꪯ ꪒꪱꪉ ꪒꪾꪚ ꪀꪺꪉ ꪻꪚ ꪮꪴ꪿.
bay,Đàn chim đang bay trên trời.,ꪏ꫁ꪮꪙ ꪶꪙ꫁ꪀ ꪒꪱꪉ ꪚꪲꪙ ꪹꪕꪸꪉ ꪡ꫁ꪱ.,ꪶꪙ꫁ꪀ ꪏ꫁ꪮꪙ ꪒꪱꪉ ꪚꪲꪙ ꪹꪕꪸꪉ ꪡ꫁ꪱ.
bay,"Trên trời, đàn chim đang bay.","ꪹꪕꪸꪉ ꪡ꫁ꪱ, ꪏ꫁ꪮꪙ ꪶꪙ꫁ꪀ ꪒꪱꪉ ꪚꪲꪙ.",ꪏ꫁ꪮꪙ ꪶꪙ꫁ꪀ ꪒꪱꪉ ꪚꪲꪙ ꪹꪕꪸꪉ ꪡ꫁ꪱ.
bay,Có một đàn chim đang bay trên trời.,ꪊꪲ꪿ ꪒꪸꪫ ꪏ꫁ꪮꪙ ꪶꪙ꫁ꪀ ꪒꪱꪉ ꪚꪲꪙ ꪹꪕꪸꪉ ꪡ꫁ꪱ.,ꪊꪲ꪿ ꪶꪙ꫁ꪀ ꪒꪸꪫ ꪏ꫁ꪮꪙ ꪒꪱꪉ ꪚꪲꪙ ꪹꪕꪸꪉ ꪡ꫁ꪱ.
