vietnamese,tai_dam,is_augmented
"lút cuộng, dọc vai",ꪀ꫁ꪱꪙ,True
cán,ꪀ꫁ꪱꪙ,False
"giữa, lưng, lưng chừng, nửa chừng",ꪀꪱꪉ,False
"giữa, lưng, lưng nhạo nửa chừng",ꪤꪲ꪿ꪙ,True
"đêm khuya, canh khuya",ꪀꪱꪉ ꪁꪳꪙ ꪨꪺꪉ,False
đêm uổng canh khuya,ꪀꪱꪉ ꪁꪳꪙ ꪨꪺꪉ,True
"đêm khuya, canh khuya",ꪊꪲ꫁ ꪁꪳꪙ ꪨꪺꪉ,True
đười ươi,ꪀꪱꪉ ꪀ꪿ꪮꪥ,False
cáng,ꪀ꪿ꪱꪉ,False
bủa,ꪀ꪿ꪱꪉ,False
bủa,ꪡꪱꪣ,True
bủa,ꪁꪲꪀ,True
lên khung,ꪀ꪿ꪱꪉ,False
"mắc, bắc",ꪀ꪿ꪱꪉ,False
rút bắc,ꪀ꪿ꪱꪉ,True
rớm bắc,ꪀ꪿ꪱꪉ,True
khạng nạng,ꪀ꪿ꪱꪉ ꪀꪱꪀ,False
"cú lượt,",ꪀ꪿ꪱꪉ ꪀꪱꪀ,True
"hóc, mắc",ꪀ꫁ꪱꪉ,False
"vòi, mắc",ꪀ꫁ꪱꪉ,True
"khoác, khoác lác",ꪀꪱꪫ,False
kính káo,ꪀ꪿ꪱꪫ ꪵꪘ,False
kính káo,ꪀ꪿ꪱꪫ ꪹꪬꪷ꪿ꪉ,True
"bẹ, mo",ꪀꪱꪚ,False
vỏ khô,ꪀꪱꪚ,False
thiếu khô,ꪀꪱꪚ,True
hãy khô,ꪀꪱꪚ,True
mảnh,ꪀꪱꪚ,False
sự,ꪀꪱꪙ,False
gọn,ꪀꪱꪙ,True
vụ,ꪀꪱꪙ,False
"nhở,",ꪀꪱꪙ,True
tình trạng,ꪀꪱꪙ,False
tình ém,ꪀꪱꪙ,True
"buốt, xe",ꪀꪱꪙ,True
tốc độ,ꪀꪱꪒ ꪫꪽ,False
"cỏ, độ",ꪀꪱꪒ ꪫꪽ,True
cô,ꪮꪱ,False
dắt,ꪮꪱ,True
à,ꪮꪱ,False
ư,ꪮꪱ,False
ơi,ꪮ꪿ꪱ,False
hả,ꪮ꪿ꪱ,False
chễm chệ,ꪮ꪿ꪱ ꪈ꫁ꪱ,False
há,ꪮ꫁ꪱ,False
há,ꪝꪰꪉ,True
ngoạc,ꪮ꫁ꪱ,False
ngoạc,ꪻꪝ,True
doãng,ꪮ꫁ꪱ,False
loe,ꪮ꫁ꪱ,False
nở,ꪮ꫁ꪱ,False
xoè,ꪮ꫁ꪱ,False
ngoam ngoáp,ꪮ꫁ꪱ ꪶꪊꪜꪉ,False
"kẽ, ngoáp",ꪮ꫁ꪱ ꪶꪊꪜꪉ,True
cô giáo,ꪮꪱ ꪼꪏ,False
chễm chệ,ꪮ꪿ꪱ ꪈ꪿ꪱ,False
chài bài,ꪮ꫁ꪱ ꪄꪱ,False
"chài xế,",ꪮ꫁ꪱ ꪄꪱ,True
"chài lúa,",ꪮ꫁ꪱ ꪄꪱ,True
cố tình,ꪮ꫁ꪱ ꪵꪘ꫁ꪉ,False
"cố nhiêu,",ꪮ꫁ꪱ ꪵꪘ꫁ꪉ,True
xắm tình,ꪮ꫁ꪱ ꪵꪘ꫁ꪉ,True
ngáp,ꪮ꫁ꪱ ꪉꪱꪚ,False
"thử,",ꪮ꫁ꪱ ꪉꪱꪚ,True
ngoáp,ꪮ꫁ꪱ ꪉꪱꪚ,False
chè hẻ,ꪮ꫁ꪱ ꪉꪱꪚ,False
bở hơi tai,ꪮ꫁ꪱ ꪉꪱꪚ ꪜꪱ,False
dông chuôi tai,ꪮ꫁ꪱ ꪉꪱꪚ ꪜꪱ,True
há miệng,ꪮ꫁ꪱ ꪜꪱꪀ,False
úi chà,ꪮ꫁ꪱ ꪮꪴ꪿ꪥ,False
đuối chà,ꪩꪲ꫁ꪉ ꪮꪴ꪿ꪥ,True
úi chà,ꪅꪲ꪿ꪣ ꪮꪴ꪿ꪥ,True
mở miệng,ꪮ꫁ꪱ ꪶꪎꪚ,False
mở mưng,ꪮ꫁ꪱ ꪶꪎꪚ,True
há hốc,ꪮ꫁ꪱ ꪶꪎꪚ,False
à,ꪯ꪿ꪱ,False
sà,ꪯ꪿ꪱ ꪥꪱꪒ,False
đáp,ꪯ꪿ꪱ ꪥꪱꪒ,False
đáp,ꪎꪮꪀ ꪥꪱꪒ,True
dìa,ꪯ꪿ꪱ ꪥꪱꪒ,True
ác,ꪮ꪿ꪱꪀ,False
gian ác,ꪮ꪿ꪱꪀ ꪊꪱꪙ,False
ác tâm,ꪮ꪿ꪱꪀ ꪻꪊ,False
ác tâm,ꪶꪏꪉ ꪻꪊ,True
khốc hại,ꪮ꪿ꪱꪀ ꪋ꪿ꪺ,False
khốc hại,ꪮ꪿ꪱꪀ ꪼꪀ꪿,True
tàn ác,ꪮ꪿ꪱꪀ ꪭ꫁ꪱꪥ,False
tàn ác,ꪮ꪿ꪱꪀ ꪅꪺꪉ,True
quằn ác,ꪮ꪿ꪱꪀ ꪭ꫁ꪱꪥ,True
eng éc,ꪵꪮ꪿ꪀ ꫟,False
eng éc,ꪵꪮ꪿ꪀ ꪹꪄ꫁,True
lặc lè,ꪵꪯ꫁ꪀ ꫟,False
mùi,ꪮꪱꪥ,False
"nẹt,",ꪮꪱꪥ,True
hôi,ꪮꪱꪥ,False
hơi,ꪮꪱꪥ,False
khí,ꪮꪱꪥ,False
"thấm, ăn thua",ꪮꪱꪥ,False
"thấm, bông thua",ꪮꪱꪥ,True
"thấm, thì, thua",ꪮꪱꪥ,True
"nặng mùi, mùi khó chịu",ꪮꪱꪥ ꪭ꫁ꪱꪥ,False
"nặng mùi, mùi khó bấc",ꪮꪱꪥ ꪔꪸꪚ,True
"kèm, mùi, mùi khó chịu",ꪹꪮꪷ ꪭ꫁ꪱꪥ,True
nguy nga,ꪮꪱꪥ ꪅꪱꪥ,False
không khí,ꪮꪱꪥ ꪶꪩꪣ,False
xấu hổ,ꪮꪱꪥ ꪘ꫁ꪱ,False
xấu hổ,ꪮꪱꪥ ꪹꪖ꫁,True
xấu hổ,ꪮꪱꪥ ꪮꪲꪉ,True
hôi hám,ꪮꪱꪥ ꪹꪐꪉ,False
lên hơi,ꪮꪱꪥ ꪮꪮꪀ,False
lên hơi,ꪐꪴ꪿ꪀ ꪮꪮꪀ,True
thấm tháp,ꪮꪱꪥ ꪹꪮꪷ꫁,False
"khí trời, không khí",ꪮꪱꪥ ꪡ꫁ꪱ,False
"róc trời, không khí",ꪮꪱꪥ ꪡ꫁ꪱ,True
sực mùi,ꪮꪱꪥ ꪡꪳ꫁ꪙ,False
sực mùi,ꪮ꫁ꪱꪫ ꪡꪳ꫁ꪙ,True
bốc hơi,ꪮꪱꪥ ꪜꪴ꪿ꪀ,False
bốc hơi,ꪹꪜ꫁ꪱ ꪜꪴ꪿ꪀ,True
bốc hoe,ꪮꪱꪥ ꪜꪴ꪿ꪀ,True
ải,ꪮ꪿ꪱꪥ,False
"bố, cha",ꪮ꫁ꪱꪥ,False
anh,ꪮ꫁ꪱꪥ,False
"gã, anh chàng",ꪮ꫁ꪱꪥ,False
ông chú,ꪮ꫁ꪱꪥ ꪮꪱꪫ,False
"bố dượng, cha dượng",ꪮ꫁ꪱꪥ ꪮꪱꪫ,False
bố bỡ cha ngượng,ꪮ꫁ꪱꪥ ꪮꪱꪫ,True
chàng trai,ꪮ꫁ꪱꪥ ꪚ꪿ꪱꪫ,False
"bố mẹ, cha mẹ",ꪮ꫁ꪱꪥ ꪹꪯꪸꪣ,False
"bố mẹ, trong mẹ",ꪮ꫁ꪱꪥ ꪹꪯꪸꪣ,True
"bố nuôi, cha nuôi",ꪮ꫁ꪱꪥ ꪩꪸ꫁ꪉ,False
bác trai,ꪮ꫁ꪱꪥ ꪩꪴꪉ,False
bác thẩn,ꪮ꫁ꪱꪥ ꪩꪴꪉ,True
ông anh,ꪮ꫁ꪱꪥ ꪨꪺꪉ,False
ông ók,ꪅꪳ꫁ꪣ ꪨꪺꪉ,True
"bố dượng, cha dượng",ꪮ꫁ꪱꪥ ꪻꪢ꪿,False
"bố dượng, cha dượng",ꪮ꫁ꪱꪥ ꪶꪠ꫁ꪉ,True
ông cậu,ꪮ꫁ꪱꪥ ꪙ꫁ꪱ,False
bội cậu,ꪮ꫁ꪱꪥ ꪙ꫁ꪱ,True
anh em,ꪮ꫁ꪱꪥ ꪙ꫁ꪮꪉ,False
anh em,ꪹꪫꪸ꫁ ꪙ꫁ꪮꪉ,True
"bố đẻ, cha đẻ",ꪮ꫁ꪱꪥ ꪮꪮꪀ,False
"bố đẻ, cha ngóng",ꪮ꫁ꪱꪥ ꪮꪮꪀ,True
bố cháy cha đẻ,ꪮ꫁ꪱꪥ ꪮꪮꪀ,True
anh,ꪮ꫁ꪱꪥ ꪝꪲ꪿,False
lõa,ꪮ꫁ꪱꪥ ꪝꪲ꪿,True
"ông nội, ông",ꪮ꫁ꪱꪥ ꪜꪴ꪿,False
ông phịch ông,ꪮ꫁ꪱꪥ ꪜꪴ꪿,True
ông ngoại,ꪮ꫁ꪱꪥ ꪔꪱ,False
ông ngoại,ꪮ꫁ꪱꪥ ꪵꪕ꪿ꪫ,True
bố vợ,ꪮ꫁ꪱꪥ ꪔꪱ,False
anh chị,ꪮ꫁ꪱꪥ ꪹꪮ꫁ꪥ,False
chiếc chị,ꪮ꫁ꪱꪥ ꪹꪮ꫁ꪥ,True
anh,ꪯꪱꪥ,False
lỏi,ꪯꪱꪥ,True
ái chà,ꪯꪱꪥ ꪥꪱ,False
thầy giáo,ꪯꪱꪥ ꪼꪏ,False
thầy giáo,ꪯꪱꪥ ꪕꪣꪳ꪿ꪙ,True
thổi,ꪮꪱꪣ,False
um ma,ꪮꪱꪣ ꪶꪛ꪿,False
um ma,ꪮꪱꪣ ꪹꪚꪱ꫁,True
tủm hụp,ꪯꪱꪣ ꪗ꪿ꪱꪣ,False
"còm, hụp",ꪯꪱꪣ ꪗ꪿ꪱꪣ,True
"loè xoè, bè xoè",ꪯꪱꪣ ꪗ꪿ꪱꪣ,False
"loè xoè, bè xoè",ꪯꪱꪣ ꪹꪯꪷꪥ꫁ꪀ,True
"loè xoè, tương, hển",ꪯꪱꪣ ꪗ꪿ꪱꪣ,True
yên,ꪮꪱꪙ,False
hàng,ꪮ꪿ꪱꪙ,False
những,ꪮ꪿ꪱꪙ,False
vô kể,ꪮ꪿ꪱꪙ,False
kể,ꪮ꪿ꪱꪙ,False
kể,ꪣꪺ,True
ròng,ꪮ꪿ꪱꪙ,False
đếm,ꪮ꪿ꪱꪙ,False
đếm,ꪁꪲꪀ,True
đọc,ꪮ꪿ꪱꪙ,False
đọc,ꪹꪮ꫁ꪉ,True
"cách trở, cách bức",ꪮ꪿ꪱꪙ ꪈꪽ,False
"cách trở, cách hạt,",ꪮ꪿ꪱꪙ ꪈꪽ,True
"tri châu, tri huyện",ꪮ꪿ꪱꪙ ꪑꪱ,False
"tri châu, vì, ủn",ꪮ꪿ꪱꪙ ꪑꪱ,True
"sửu châu, tri bật,",ꪮ꪿ꪱꪙ ꪑꪱ,True
chúa đất tham chính,ꪮ꪿ꪱꪙ ꪑꪱ,False
chúa đất tham chính,ꪮ꪿ꪱꪙ ꪶꪙ꫁ꪀ,True
chúa đất cắm chính,ꪭꪸꪫ ꪑꪱ,True
kết tội,ꪮ꪿ꪱꪙ ꪶꪕ꫁ꪥ,False
"dời, tội",ꪮ꪿ꪱꪙ ꪶꪕ꫁ꪥ,True
khoe,ꪮ꫁ꪱꪉ,False
khoe,ꪑꪴꪙ,True
kiêu kì,ꪮ꫁ꪱꪉ ꪈꪲꪒ,False
phô trương,ꪮ꫁ꪱꪉ ꪻꪐ꪿,False
vởn trương,ꪮ꫁ꪱꪉ ꪻꪐ꪿,True
phô trương,ꪶꪈ ꪛ꪿ꪺꪙ,True
nhởn nhơ,ꪵꪮ꪿ꪉ ꪵꪮ,False
nhởn nhơ,ꪵꪮ꪿ꪉ ꪙꪴꪉ,True
loa cái ninh,ꪵꪮ꪿ꪉ ꪢꪷ꫁,False
loa cái chấy,ꪵꪮ꪿ꪉ ꪢꪷ꫁,True
ảnh,ꪵꪮ꫁ꪉ,False
"quý, mến, đáng yêu",ꪵꪯꪉ,False
"quý, nong, đáng yêu",ꪵꪯꪉ,True
"anh yêu, em yêu",ꪵꪯꪉ ꪎꪱꪥ,False
"anh yêu, em ướt",ꪵꪯꪉ ꪎꪱꪥ,True
"gia, yêu, lõm yêu",ꪵꪯꪉ ꪎꪱꪥ,True
chú,ꪮꪱꪫ,False
cô chú,ꪮꪱꪫ ꪮꪱ,False
chạch chú,ꪮꪱꪫ ꪠꪱꪥ,True
chú rể,ꪮꪱꪫ ꪹꪄꪥ,False
chú út,ꪮꪱꪫ ꪨ꫁ꪱ,False
ngan út,ꪶꪋ꫁ꪀ ꪨ꫁ꪱ,True
chú chúm,ꪮꪱꪫ ꪨ꫁ꪱ,True
chú thím,ꪮꪱꪫ ꪩꪺ,False
nghĩ,ꪮ꪿ꪱꪫ,False
tắm,ꪮꪱꪚ,False
hắt,ꪮꪱꪚ,True
gội,ꪮꪱꪚ,False
phạ,ꪮꪱꪚ,True
mạ,ꪮꪱꪚ,False
hơi,ꪮ꪿ꪱꪫ,False
khí,ꪮ꪿ꪱꪫ,False
teo,ꪮ꪿ꪱꪫ,True
khoác lác,ꪮ꫁ꪱꪫ ꪻꪐ꪿,False
nhích khuống,ꪮ꫁ꪱꪫ ꪻꪐ꪿,True
ồn,ꪯꪱꪫ ꫟,False
"chớp,",ꪯꪱꪫ ꫟,True
huyên náo,ꪯꪱꪫ ꪹꪯꪸꪫ,False
suỵt,ꪯ꪿ꪱꪫ,False
tắm táp,ꪮꪱꪚ ꪮ꪿ꪺꪉ,False
"víu, táp",ꪮꪱꪚ ꪮ꪿ꪺꪉ,True
tắm chuôi,ꪮꪱꪚ ꪕꪷ꪿,True
tắm rửa,ꪮꪱꪚ ꪎ꪿ꪺꪥ,False
hưỡn: rửa,ꪮꪱꪚ ꪎ꪿ꪺꪥ,True
đè nén,ꪯꪱꪚ,False
đè nén,ꪣꪴꪒ,True
chơi trội,ꪯꪱꪚ ꪢ꫁ꪱ,False
chơi trội,ꪯꪱꪚ ꪮ꪿ꪱꪀ,True
"rải, trội",ꪯꪱꪚ ꪢ꫁ꪱ,True
"hình nộm bằng giẻ đuổi thú rừng, ma quỷ ở nương",ꪮꪱꪒ,False
"hình nộm bằng giẻ đuổi thú rừng, ma xỉa ở nương",ꪮꪱꪒ,True
"hình nộm bằng giẻ họp, đáy rừng, ma quỷ quản nương",ꪮꪱꪒ,True
lấy,ꪹꪮꪱ,False
"đem, mang, đưa",ꪹꪮꪱ,False
cho vào,ꪹꪮꪱ,False
dùng,ꪹꪮꪱ,False
nghén,ꪹꪮꪱ,True
tùy ý,ꪹꪮꪱ ꪻꪊ,False
"tùy cheng,",ꪹꪮꪱ ꪻꪊ,True
lấy lòng,ꪹꪮꪱ ꪻꪊ,False
lấy lòng,ꪹꪮꪱ ꪣꪷ,True
giữ tiếng,ꪹꪮꪱ ꪘ꫁ꪱ,False
"chịu đực, chịu tơ",ꪹꪮꪱ ꪠꪮꪀ,False
"chịu đực, chịu vàng",ꪎꪱꪫ ꪠꪮꪀ,True
chịu trống,ꪹꪮꪱ ꪝꪷ꪿,False
chịu chuồi,ꪹꪮꪱ ꪝꪷ꪿,True
"bạt mạng, vong mạng",ꪹꪮꪱ ꪔꪱꪥ,False
"bạt mạng, vong mạng",ꪹꪮꪱ ꪡ꫁ꪱꪉ,True
"bạt mạng, vong lật,",ꪏꪰꪀ ꪔꪱꪥ,True
chịu đực,ꪹꪮꪱ ꪹꪖꪷ꪿ꪀ,False
đấy,ꪹꪮ꪿ꪱ,False
đấy,ꪊꪲ꪿,True
dũi,ꪹꪮ꪿ꪱ,True
bức,ꪹꪮ꫁ꪱ,False
"ngột ngạt, nồng nực",ꪹꪮ꫁ꪱ ꪹꪈꪱ,False
"ngột ngạt, líu nực",ꪹꪮ꫁ꪱ ꪶꪎꪚꪙ,True
ngột cóng nồng nực,ꪹꪮ꫁ꪱ ꪮꪳ,True
"oi bức, bức bối",ꪹꪮ꫁ꪱ ꪮꪳꪒ,False
"oi bức, bức bờm",ꪩꪴ꫁ꪣ ꪮꪳꪒ,True
"oi bức, bức bối",ꪨ꫁ꪮꪥ ꪮꪳꪒ,True
đầy hơi,ꪻꪯ ꫟,False
đầy khẻo,ꪻꪯ ꫟,True
ho,ꪼꪮ,False
ho khan,ꪼꪮ ꪩ꫁ꪱ,False
ho chăn,ꪼꪮ ꪩ꫁ꪱ,True
ho đê,ꪼꪮ ꪩ꫁ꪱ,True
oi nước,ꪼꪮ꫁ ꪙꪾ꫁,False
quậy nước,ꪼꪮ꫁ ꪙꪾ꫁,True
dỗ dành,ꪮꪰꪀ ꫟,False
cám dỗ,ꪮꪰꪀ ꪮ꪿ꪮꪥ,False
cám dỗ,ꪮꪰꪀ ꪶꪜꪀ꫁ꪉ,True
xốn xang,ꪯꪰꪀ ꪙꪰꪀ,False
xốn xang,ꪼꪛ ꪙꪰꪀ,True
x. ꪠꪲ ꪮꪾ,ꪮꪾ,False
"gân, ꪠꪲ ꪮꪾ",ꪮꪾ,True
x. thoáng ꪮꪾ,ꪮꪾ,True
hoa văn hình quả trám,ꪮꪾ ꪚꪱ,False
hoa văn hình rạc trám,ꪮꪾ ꪚꪱ,True
hoa văn hình quả tày,ꪮꪾ ꪚꪱ,True
lặng thinh,ꪮꪾ꪿ ꪼꪠ꪿,False
"ẩm, ớm",ꪮꪾ꫁,False
giéo giắt,ꪮꪾ꫁ ꪮꪲ꪿ꪉ,False
giéo lạng,ꪮꪾ꫁ ꪮꪲ꪿ꪉ,True
ẩm thấp,ꪮꪾ꫁ ꪈꪾ,False
ẩm hăn-xen,ꪮꪾ꫁ ꪈꪾ,True
hoa văn trắng đen lấm tấm,ꪮꪾ꫁ ꪮ꪿ꪮꪥ,False
trơ khấc,ꪮꪾ꫁ ꪜꪱꪀ,False
trơ tranh,ꪮꪾ꫁ ꪜꪱꪀ,True
trơ khấc,ꪮꪾ꫁ ꪝ꫁ꪱꪙ,True
cái,ꪮꪽ,False
điều,ꪮꪽ,False
kêu,ꪮ꪿ꪽ,False
kêu,ꪹꪣꪷꪀ,True
tận,ꪮ꪿ꪽ,False
"ô, ngăn",ꪮ꫁ꪽ,False
"ô, tư",ꪮ꫁ꪽ,True
"ấy, đấy",ꪯ꫁ꪽ,False
"ấy, mèn",ꪯ꫁ꪽ,True
bảy đấy,ꪯ꫁ꪽ,True
kia kìa,ꪯ꫁ꪽ ꪹꪩꪸ,False
kia kìa,ꪯ꫁ꪽ ꪏꪴꪙ,True
bí hơi,ꪮꪾꪚ,False
âm u,ꪮꪾꪚ ꪯꪳ꫁ꪉ,False
"giô, u",ꪮꪾꪚ ꪯꪳ꫁ꪉ,True
ngần ngừ,ꪮꪾꪚ ꪯꪳ꫁ꪉ,False
"ngần cùng,",ꪮꪾꪚ ꪯꪳ꫁ꪉ,True
ngoắt ngoéo,ꪮꪰꪒ ꪵꪮ꫁ꪫ,False
"nhớt, ngoéo",ꪮꪰꪒ ꪵꪮ꫁ꪫ,True
muôn đời,ꪚꪱ ꪹꪓꪷꪥ,False
thề đời,ꪚꪱ ꪹꪓꪷꪥ,True
ta,ꪚꪱ ꪼꪕ,False
người,ꪚꪱ ꪼꪕ,False
người,ꪮꪳꪣ ꪼꪕ,True
vai,ꪚ꪿ꪱ,False
góp,ꪚ꪿ꪱ,True
đổ,ꪚ꪿ꪱ,False
đổ,ꪁ꪿ꪱꪥ,True
sã cánh,ꪚ꪿ꪱ ꪹꪨ꪿ꪥ,False
sã cánh,ꪚ꪿ꪱ ꪕꪸ꪿ꪉ,True
loạn lạc,ꪚ꪿ꪱ ꪐꪴ꫁ꪉ,False
"loạn tò,",ꪚ꪿ꪱ ꪐꪴ꫁ꪉ,True
tan hoang,ꪚ꪿ꪱ ꪎꪸꪫ,False
tan hoang,ꪹꪚꪸꪚ ꪎꪸꪫ,True
đa,ꪚ꫁ꪱ,False
phân,ꪚ꫁ꪱ,True
thằng,ꪚ꫁ꪱ,False
"ông, anh",ꪚ꫁ꪱ,False
điên,ꪚ꫁ꪱ,False
điên,ꪨꪳꪣ,True
giãy,ꪚ꫁ꪱ,False
bị thương,ꪚ꫁ꪱ ꪭꪱꪒ,False
"tòm, thương",ꪚ꫁ꪱ ꪭꪱꪒ,True
bị thương,ꪼꪜ꪿ ꪭꪱꪒ,True
ngoắc ngoải,ꪚ꫁ꪱ ꪭꪱꪒ,False
"ngoắc tiêu,",ꪚ꫁ꪱ ꪣꪱꪒ,True
lảo đảo,ꪚ꫁ꪱ ꪩꪱꪣ,False
thất thểu,ꪚ꫁ꪱ ꪩꪱꪣ,False
tất tả,ꪚ꫁ꪱ ꪩꪱꪣ,False
nát rượu,ꪚ꫁ꪱ ꪹꪨ꫁ꪱ,False
hung dữ,ꪚ꫁ꪱ ꪹꪩꪒ,False
động kinh,ꪚ꫁ꪱ ꪢꪴ,False
nhòm kinh,ꪚ꫁ꪱ ꪢꪴ,True
giãy chết,ꪚ꫁ꪱ ꪔꪱꪥ,False
si tình,ꪚ꫁ꪱ ꪎꪱꪫ,False
si tình,ꪥ꪿ꪱꪫ ꪎꪱꪫ,True
bà,ꪛꪱ,False
lã,ꪛꪱ,True
"bà mụ, bà đỡ đẻ",ꪛꪱ ꪣꪴ꫁,False
bà xối hoà đỡ đẻ,ꪛꪱ ꪠ꪿ꪮꪥ,True
nữ tu sĩ,ꪛꪱ ꪣꪴ꫁,False
nữ tu sĩ,ꪎꪲꪙ ꪣꪴ꫁,True
nữ tu sĩ,ꪛꪱ ꪁꪩ꫁ꪮꪀ,True
tuần đinh,ꪵꪚ꪿ꪀ,False
tuần giọ#ven,ꪵꪚ꪿ꪀ,True
túm,ꪚꪱꪥ,False
rẫy cỏ,ꪚꪱꪥ,False
"đảo, cỏ",ꪚꪱꪥ,True
rẫy rỡ,ꪚꪱꪥ,True
rẫy cỏ đợt một,ꪚꪱꪥ ꪔꪲꪙ,False
"rẫy ti móc, một",ꪚꪱꪥ ꪵꪉ,True
ngoảnh mặt,ꪚ꪿ꪱꪥ ꪘ꫁ꪱ,False
ngoảnh rui,ꪚ꪿ꪱꪥ ꪘ꫁ꪱ,True
chèo,ꪚ꫁ꪱꪥ,False
bài,ꪛꪱꪥ,False
hõm,ꪛ꫁ꪱꪣ,False
bừa,ꪚꪱꪙ,False
bừa,ꪚꪱꪙ,False
bảo ban,ꪚꪱꪙ ꪚꪮꪀ,False
bừa đợt một,ꪚꪱꪙ ꪬ꪿ꪱ ꪠ꫁ꪱꪙ,False
"bừa đợt tha,",ꪚꪱꪙ ꪬ꪿ꪱ ꪠ꫁ꪱꪙ,True
vành tai,ꪚꪱꪙ ꪬꪴ,False
vành tai,ꪄꪳꪚ ꪬꪴ,True
"vành lệ,",ꪚꪱꪙ ꪬꪴ,True
"vểnh râu, lên râu",ꪚꪱꪙ ꪬꪴ ꪶꪑ꫁ꪀ,False
"ghệt râu, lên râu",ꪊꪾꪚ ꪬꪴ ꪶꪑ꫁ꪀ,True
"dạo râu, lên râu",ꪚꪱꪙ ꪬꪴ ꪶꪑ꫁ꪀ,True
ban đã kết hạt,ꪚꪱꪙ ꪄ꪿ꪱꪉ,False
ban sam kết dọn,ꪚꪱꪙ ꪄ꪿ꪱꪉ,True
bừa đợt hai,ꪚꪱꪙ ꪄ꪿ꪱꪉ,False
"bừa lình, hai",ꪚꪱꪙ ꪄ꪿ꪱꪉ,True
bừa đợt cuối để cấy,ꪚꪱꪙ ꪩꪱꪒ,False
bừa đợt cuối để cấy,ꪵꪥ꪿ꪉ ꪩꪱꪒ,True
bừa đợt cuối giơ phệ,ꪚꪱꪙ ꪩꪱꪒ,True
hoa ban nở rộ,ꪚꪱꪙ ꪝꪴꪙ,False
"hoa súc, nở rộ",ꪚꪱꪙ ꪁꪩꪷ꫁,True
ngỏ lời,ꪚꪱꪙ ꪁꪫꪱꪣ,False
"bừa cào, bàn trang",ꪚꪱꪙ ꪎꪱꪉ,False
"bừa cào, bàn trang",ꪚꪱꪙ ꪤꪸꪒ,True
mẻ,ꪚ꪿ꪱꪙ,False
bản,ꪚ꫁ꪱꪙ,False
